Id,Name,Street_Address_1__c,Street_Address_2__c,City__c,State__c,Postal_Or_Zip_Code__c,Geolocation__c.latitude,Geolocation__c.longitude,Max_Capacity__c,Center_Mode__c,Is_National_Center__c,Center_URL__c
a0C1g000000WGIMEA4,L-000304,,3564 Calderwood Dr,Rockford,,61114,42.312363,-88.991954,,,FALSE,https://www.artofliving.org/us-en/node/8624
a0C1g000000WGIXEA4,L-000305,,,Royal Oak,,,42.4894801,-83.1446485,,,FALSE,https://www.artofliving.org/us-en/node/8625
a0C1g000000WGIYEA4,L-000306,,,Ridgway,,,38.1525873,-107.7556162,,,FALSE,https://www.artofliving.org/us-en/node/8626
a0C1g000000WGIZEA4,L-000307,,2412 Sterlingwood Trace,Richmond,,23233,37.6349799,-77.6066237,,,FALSE,https://www.artofliving.org/us-en/node/8627
a0C1g000000WGIaEAO,L-000308,,,Randolph,,,40.8478065,-74.5747248,,,FALSE,https://www.artofliving.org/us-en/node/8628
a0C1g000000WGIbEAO,L-000309,,9423 Palm Bay Circle,Raleigh,,27617,35.915248,-78.7968099,,,FALSE,https://www.artofliving.org/us-en/node/8630
a0C1g000000WGIcEAO,L-000310,,,Pueblo,,,38.2544472,-104.6091409,,,FALSE,https://www.artofliving.org/us-en/node/8631
a0C1g000000WGIdEAO,L-000311,,,Quincy,,,42.2528772,-71.0022705,,,FALSE,https://www.artofliving.org/us-en/node/8632
a0C1g000000WGIeEAO,L-000312,,,Providence,,,41.8239891,-71.4128343,,,FALSE,https://www.artofliving.org/us-en/node/8633
a0C1g000000WGIfEAO,L-000313,,2 Bonner Ct,Pennington,,8534,40.304588,-74.757211,,,FALSE,https://www.artofliving.org/us-en/node/8634
a0C1g000000WGIgEAO,L-000314,,,Prospect Heights,,60070,42.1042273,-87.9383822,,,FALSE,https://www.artofliving.org/us-en/node/8635
a0C1g000000WGIhEAO,L-000315,,,Portland,,,45.5234515,-122.6762071,,,FALSE,https://www.artofliving.org/us-en/node/8636
a0C1g000000WGIiEAO,L-000316,,,Pittsburgh,,,40.4406248,-79.9958864,,,FALSE,https://www.artofliving.org/us-en/node/8637
a0C1g000000WGIjEAO,L-000317,,1330 W Auto Dr.,Tempe,,85284,33.3431488,-111.9589448,,,FALSE,https://www.artofliving.org/us-en/node/8638
a0C1g000000WGIkEAO,L-000318,,,Philadelphia,,19106,39.9493801,-75.145782,,,FALSE,https://www.artofliving.org/us-en/node/8639
a0C1g000000WGIlEAO,L-000319,,2 Bonner Ct.,Pennington,,8534,40.304588,-74.757211,,,FALSE,https://www.artofliving.org/us-en/node/8640
a0C1g000000WGImEAO,L-000320,,,Pearland,,,29.5635666,-95.2860474,,,FALSE,https://www.artofliving.org/us-en/node/8641
a0C1g000000WGInEAO,L-000321,,104 Broadway (2nd Floor),Denville,,7054,40.8914403,-74.4739402,,,FALSE,https://www.artofliving.org/us-en/node/8642
a0C1g000000WGIoEAO,L-000322,#D7,4000 Cubberly Community Center Room,Palo Alto,,94303,37.4173933,-122.1083754,,,FALSE,https://www.artofliving.org/us-en/node/8643
a0C1g000000WGIpEAO,L-000323,,,Tracy,,95391,37.7582199,-121.548418,,,TRUE,https://www.artofliving.org/us-en/node/8645
a0C1g000000WGIqEAO,L-000324,,,Oxford,,,34.3664951,-89.5192484,,,FALSE,https://www.artofliving.org/us-en/node/8646
a0C1g000000WGIrEAO,L-000325,,"Happy House, 2010 Virginia Street",Norman,,73071,35.211326,-97.4493677,,,FALSE,https://www.artofliving.org/us-en/node/8647
a0C1g000000WGIsEAO,L-000326,,,Orlando,,32801,28.5416658,-81.3756862,,,FALSE,https://www.artofliving.org/us-en/node/8648
a0C1g000000WGItEAO,L-000327,,4243 Telegraph Ave,Oakland,,94609,37.8043637,-122.2711137,,,FALSE,https://www.artofliving.org/us-en/node/8649
a0C1g000000WGIuEAO,L-000328,,,Oahu,,,21.4389123,-158.0000565,,,FALSE,https://www.artofliving.org/us-en/node/8651
